Instance,Budget,rate,Nodes,Arcs,Traffickers,Bottoms,Victims,ObjVal,ObtGap,MaxFlow,Int_L1,Int_L2,Int_L3,Time
Network1,0,0.5,41,101,5,5,31,36,0.0,195.0,0,0,0,0.07
Network1,0,0.75,41,101,5,5,31,36,0.0,195.0,0,0,0,0.04
Network1,0,1,41,101,5,5,31,36,0.0,195.0,0,0,0,0.03
Network1,4,0.5,41,101,5,5,31,34,0.0,181.0,0,0,2,0.09
Network1,4,0.75,41,101,5,5,31,34,0.0,181.0,0,0,2,0.05
Network1,4,1,41,101,5,5,31,34,0.0,176.0,0,0,2,0.05
Network1,8,0.5,41,101,5,5,31,27,0.0,133.0,1,0,0,0.04
Network1,8,0.75,41,101,5,5,31,27,0.0,133.0,1,0,0,0.03
Network1,8,1,41,101,5,5,31,27,0.0,133.0,1,0,0,0.03
Network1,12,0.5,41,101,5,5,31,25,0.0,122.0,1,0,2,0.03
Network1,12,0.75,41,101,5,5,31,25,0.0,122.0,1,0,2,0.03
Network1,12,1,41,101,5,5,31,25,0.0,122.0,1,0,2,0.03
Network1,16,0.5,41,101,5,5,31,19,0.0,96.0,2,0,0,0.03
Network1,16,0.75,41,101,5,5,31,19,0.0,96.0,2,0,0,0.04
Network1,16,1,41,101,5,5,31,19,0.0,96.0,2,0,0,0.03
Network1,20,0.5,41,101,5,5,31,17,0.0,79.0,2,0,2,0.04
Network1,20,0.75,41,101,5,5,31,17,0.0,82.0,2,0,2,0.04
Network1,20,1,41,101,5,5,31,17,0.0,79.0,2,0,2,0.05
Network1,24,0.5,41,101,5,5,31,11,0.0,52.0,3,0,0,0.03
Network1,24,0.75,41,101,5,5,31,11,0.0,52.0,3,0,0,0.03
Network1,24,1,41,101,5,5,31,11,0.0,52.0,3,0,0,0.03
Network2,0,0.5,32,74,5,4,23,27,0.0,161.0,0,0,0,0.02
Network2,0,0.75,32,74,5,4,23,27,0.0,161.0,0,0,0,0.02
Network2,0,1,32,74,5,4,23,27,0.0,161.0,0,0,0,0.02
Network2,4,0.5,32,74,5,4,23,24,0.0,137.0,0,1,0,0.03
Network2,4,0.75,32,74,5,4,23,24,0.0,137.0,0,1,0,0.03
Network2,4,1,32,74,5,4,23,24,0.0,137.0,0,1,0,0.03
Network2,8,0.5,32,74,5,4,23,17,0.0,83.0,1,0,0,0.02
Network2,8,0.75,32,74,5,4,23,17,0.0,83.0,1,0,0,0.02
Network2,8,1,32,74,5,4,23,17,0.0,83.0,1,0,0,0.03
Network2,12,0.5,32,74,5,4,23,14,0.0,76.0,1,1,0,0.03
Network2,12,0.75,32,74,5,4,23,14,0.0,76.0,1,1,0,0.03
Network2,12,1,32,74,5,4,23,14,0.0,76.0,1,1,0,0.03
Network2,16,0.5,32,74,5,4,23,9,0.0,54.0,2,0,0,0.04
Network2,16,0.75,32,74,5,4,23,9,0.0,54.0,2,0,0,0.02
Network2,16,1,32,74,5,4,23,9,0.0,54.0,2,0,0,0.02
Network2,20,0.5,32,74,5,4,23,7,0.0,43.0,2,0,2,0.02
Network2,20,0.75,32,74,5,4,23,7,0.0,43.0,2,0,2,0.02
Network2,20,1,32,74,5,4,23,7,0.0,43.0,2,0,2,0.02
Network2,24,0.5,32,74,5,4,23,5,0.0,27.0,2,0,4,0.03
Network2,24,0.75,32,74,5,4,23,5,0.0,27.0,2,0,4,0.03
Network2,24,1,32,74,5,4,23,5,0.0,27.0,2,0,4,0.03
Network3,0,0.5,30,64,5,3,22,25,0.0,126.0,0,0,0,0.02
Network3,0,0.75,30,64,5,3,22,25,0.0,126.0,0,0,0,0.02
Network3,0,1,30,64,5,3,22,25,0.0,126.0,0,0,0,0.02
Network3,4,0.5,30,64,5,3,22,21,0.0,101.0,0,1,0,0.02
Network3,4,0.75,30,64,5,3,22,21,0.0,101.0,0,1,0,0.02
Network3,4,1,30,64,5,3,22,21,0.0,101.0,0,1,0,0.02
Network3,8,0.5,30,64,5,3,22,18,0.0,101.0,1,0,0,0.02
Network3,8,0.75,30,64,5,3,22,18,0.0,101.0,1,0,0,0.02
Network3,8,1,30,64,5,3,22,18,0.0,101.0,1,0,0,0.02
Network3,12,0.5,30,64,5,3,22,14,0.0,76.0,1,1,0,0.02
Network3,12,0.75,30,64,5,3,22,14,0.0,76.0,1,1,0,0.02
Network3,12,1,30,64,5,3,22,14,0.0,76.0,1,1,0,0.02
Network3,16,0.5,30,64,5,3,22,12,0.0,64.0,1,2,0,0.04
Network3,16,0.75,30,64,5,3,22,12,0.0,64.0,1,2,0,0.03
Network3,16,1,30,64,5,3,22,12,0.0,64.0,1,2,0,0.03
Network3,20,0.5,30,64,5,3,22,8,0.0,48.0,2,1,0,0.02
Network3,20,0.75,30,64,5,3,22,8,0.0,48.0,2,1,0,0.02
Network3,20,1,30,64,5,3,22,8,0.0,48.0,2,1,0,0.02
Network3,24,0.5,30,64,5,3,22,6,0.0,41.0,3,0,0,0.02
Network3,24,0.75,30,64,5,3,22,6,0.0,41.0,3,0,0,0.02
Network3,24,1,30,64,5,3,22,6,0.0,41.0,3,0,0,0.02
Network4,0,0.5,37,86,5,5,27,32,0.0,183.0,0,0,0,0.04
Network4,0,0.75,37,86,5,5,27,32,0.0,183.0,0,0,0,0.02
Network4,0,1,37,86,5,5,27,32,0.0,183.0,0,0,0,0.02
Network4,4,0.5,37,86,5,5,27,29,0.0,167.0,0,1,0,0.03
Network4,4,0.75,37,86,5,5,27,29,0.0,167.0,0,1,0,0.03
Network4,4,1,37,86,5,5,27,29,0.0,167.0,0,1,0,0.03
Network4,8,0.5,37,86,5,5,27,22,0.0,119.0,1,0,0,0.03
Network4,8,0.75,37,86,5,5,27,22,0.0,119.0,1,0,0,0.03
Network4,8,1,37,86,5,5,27,22,0.0,119.0,1,0,0,0.03
Network4,12,0.5,37,86,5,5,27,19,0.0,103.0,1,1,0,0.03
Network4,12,0.75,37,86,5,5,27,19,0.0,103.0,1,1,0,0.03
Network4,12,1,37,86,5,5,27,19,0.0,103.0,1,1,0,0.04
Network4,16,0.5,37,86,5,5,27,15,0.0,84.0,2,0,0,0.03
Network4,16,0.75,37,86,5,5,27,15,0.0,84.0,2,0,0,0.03
Network4,16,1,37,86,5,5,27,15,0.0,84.0,2,0,0,0.03
Network4,20,0.5,37,86,5,5,27,12,0.0,68.0,2,1,0,0.03
Network4,20,0.75,37,86,5,5,27,12,0.0,68.0,2,1,0,0.03
Network4,20,1,37,86,5,5,27,12,0.0,68.0,2,1,0,0.03
Network4,24,0.5,37,86,5,5,27,9,0.0,48.0,3,0,0,0.03
Network4,24,0.75,37,86,5,5,27,9,0.0,48.0,3,0,0,0.03
Network4,24,1,37,86,5,5,27,9,0.0,48.0,3,0,0,0.03
Network5,0,0.5,33,79,5,5,23,28,0.0,161.0,0,0,0,0.02
Network5,0,0.75,33,79,5,5,23,28,0.0,161.0,0,0,0,0.02
Network5,0,1,33,79,5,5,23,28,0.0,161.0,0,0,0,0.02
Network5,4,0.5,33,79,5,5,23,24,0.0,134.0,0,1,0,0.03
Network5,4,0.75,33,79,5,5,23,24,0.0,134.0,0,1,0,0.03
Network5,4,1,33,79,5,5,23,24,0.0,134.0,0,1,0,0.03
Network5,8,0.5,33,79,5,5,23,21,0.0,123.0,1,0,0,0.04
Network5,8,0.75,33,79,5,5,23,21,0.0,123.0,1,0,0,0.03
Network5,8,1,33,79,5,5,23,21,0.0,123.0,1,0,0,0.03
Network5,12,0.5,33,79,5,5,23,17,0.0,96.0,1,1,0,0.03
Network5,12,0.75,33,79,5,5,23,17,0.0,96.0,1,1,0,0.02
Network5,12,1,33,79,5,5,23,17,0.0,96.0,1,1,0,0.02
Network5,16,0.5,33,79,5,5,23,14,0.0,72.0,1,2,0,0.03
Network5,16,0.75,33,79,5,5,23,14,0.0,72.0,1,2,0,0.04
Network5,16,1,33,79,5,5,23,14,0.0,72.0,1,2,0,0.03
Network5,20,0.5,33,79,5,5,23,11,0.0,56.0,2,1,0,0.04
Network5,20,0.75,33,79,5,5,23,11,0.0,56.0,2,1,0,0.03
Network5,20,1,33,79,5,5,23,11,0.0,56.0,2,1,0,0.03
Network5,24,0.5,33,79,5,5,23,8,0.0,37.0,2,2,0,0.03
Network5,24,0.75,33,79,5,5,23,8,0.0,37.0,2,2,0,0.03
Network5,24,1,33,79,5,5,23,8,0.0,37.0,2,2,0,0.03
Network6,0,0.5,37,83,5,5,27,32,0.0,173.0,0,0,0,0.03
Network6,0,0.75,37,83,5,5,27,32,0.0,173.0,0,0,0,0.03
Network6,0,1,37,83,5,5,27,32,0.0,173.0,0,0,0,0.03
Network6,4,0.5,37,83,5,5,27,28,0.0,151.0,0,1,0,0.03
Network6,4,0.75,37,83,5,5,27,28,0.0,151.0,0,1,0,0.03
Network6,4,1,37,83,5,5,27,28,0.0,151.0,0,1,0,0.03
Network6,8,0.5,37,83,5,5,27,24,0.0,135.0,1,0,0,0.03
Network6,8,0.75,37,83,5,5,27,24,0.0,135.0,1,0,0,0.03
Network6,8,1,37,83,5,5,27,24,0.0,135.0,1,0,0,0.03
Network6,12,0.5,37,83,5,5,27,20,0.0,109.0,1,1,0,0.03
Network6,12,0.75,37,83,5,5,27,20,0.0,109.0,1,1,0,0.03
Network6,12,1,37,83,5,5,27,20,0.0,109.0,1,1,0,0.03
Network6,16,0.5,37,83,5,5,27,16,0.0,93.0,2,0,0,0.03
Network6,16,0.75,37,83,5,5,27,16,0.0,93.0,2,0,0,0.04
Network6,16,1,37,83,5,5,27,16,0.0,93.0,2,0,0,0.03
Network6,20,0.5,37,83,5,5,27,13,0.0,64.0,2,1,0,0.03
Network6,20,0.75,37,83,5,5,27,13,0.0,64.0,2,1,0,0.03
Network6,20,1,37,83,5,5,27,13,0.0,64.0,2,1,0,0.04
Network6,24,0.5,37,83,5,5,27,9,0.0,48.0,3,0,0,0.03
Network6,24,0.75,37,83,5,5,27,9,0.0,48.0,3,0,0,0.03
Network6,24,1,37,83,5,5,27,9,0.0,48.0,3,0,0,0.02
Network7,0,0.5,33,70,5,4,24,28,0.0,172.0,0,0,0,0.02
Network7,0,0.75,33,70,5,4,24,28,0.0,172.0,0,0,0,0.02
Network7,0,1,33,70,5,4,24,28,0.0,172.0,0,0,0,0.02
Network7,4,0.5,33,70,5,4,24,25,0.0,159.0,0,1,0,0.02
Network7,4,0.75,33,70,5,4,24,25,0.0,159.0,0,1,0,0.03
Network7,4,1,33,70,5,4,24,25,0.0,159.0,0,1,0,0.02
Network7,8,0.5,33,70,5,4,24,20,0.0,124.0,1,0,0,0.02
Network7,8,0.75,33,70,5,4,24,20,0.0,124.0,1,0,0,0.02
Network7,8,1,33,70,5,4,24,20,0.0,124.0,1,0,0,0.02
Network7,12,0.5,33,70,5,4,24,17,0.0,111.0,1,1,0,0.03
Network7,12,0.75,33,70,5,4,24,17,0.0,111.0,1,1,0,0.03
Network7,12,1,33,70,5,4,24,17,0.0,111.0,1,1,0,0.02
Network7,16,0.5,33,70,5,4,24,13,0.0,75.0,2,0,0,0.02
Network7,16,0.75,33,70,5,4,24,13,0.0,75.0,2,0,0,0.02
Network7,16,1,33,70,5,4,24,13,0.0,75.0,2,0,0,0.02
Network7,20,0.5,33,70,5,4,24,10,0.0,62.0,2,1,0,0.02
Network7,20,0.75,33,70,5,4,24,10,0.0,62.0,2,1,0,0.02
Network7,20,1,33,70,5,4,24,10,0.0,62.0,2,1,0,0.03
Network7,24,0.5,33,70,5,4,24,7,0.0,41.0,3,0,0,0.02
Network7,24,0.75,33,70,5,4,24,7,0.0,41.0,3,0,0,0.02
Network7,24,1,33,70,5,4,24,7,0.0,41.0,3,0,0,0.02
Network8,0,0.5,30,64,5,3,22,25,0.0,150.0,0,0,0,0.02
Network8,0,0.75,30,64,5,3,22,25,0.0,150.0,0,0,0,0.02
Network8,0,1,30,64,5,3,22,25,0.0,150.0,0,0,0,0.02
Network8,4,0.5,30,64,5,3,22,21,0.0,122.0,0,1,0,0.02
Network8,4,0.75,30,64,5,3,22,21,0.0,122.0,0,1,0,0.02
Network8,4,1,30,64,5,3,22,21,0.0,122.0,0,1,0,0.03
Network8,8,0.5,30,64,5,3,22,17,0.0,97.0,1,0,0,0.02
Network8,8,0.75,30,64,5,3,22,17,0.0,97.0,1,0,0,0.02
Network8,8,1,30,64,5,3,22,17,0.0,97.0,1,0,0,0.02
Network8,12,0.5,30,64,5,3,22,14,0.0,85.0,1,1,0,0.02
Network8,12,0.75,30,64,5,3,22,14,0.0,85.0,1,1,0,0.02
Network8,12,1,30,64,5,3,22,14,0.0,85.0,1,1,0,0.02
Network8,16,0.5,30,64,5,3,22,10,0.0,60.0,2,0,0,0.02
Network8,16,0.75,30,64,5,3,22,10,0.0,60.0,2,0,0,0.02
Network8,16,1,30,64,5,3,22,10,0.0,60.0,2,0,0,0.03
Network8,20,0.5,30,64,5,3,22,8,0.0,48.0,2,0,2,0.02
Network8,20,0.75,30,64,5,3,22,8,0.0,50.0,2,0,2,0.02
Network8,20,1,30,64,5,3,22,8,0.0,50.0,2,0,2,0.03
Network8,24,0.5,30,64,5,3,22,5,0.0,33.0,3,0,0,0.02
Network8,24,0.75,30,64,5,3,22,5,0.0,33.0,3,0,0,0.02
Network8,24,1,30,64,5,3,22,5,0.0,33.0,3,0,0,0.02
Network9,0,0.5,26,56,5,3,18,21,0.0,103.0,0,0,0,0.02
Network9,0,0.75,26,56,5,3,18,21,0.0,103.0,0,0,0,0.02
Network9,0,1,26,56,5,3,18,21,0.0,103.0,0,0,0,0.02
Network9,4,0.5,26,56,5,3,18,18,0.0,91.0,0,1,0,0.02
Network9,4,0.75,26,56,5,3,18,18,0.0,91.0,0,1,0,0.02
Network9,4,1,26,56,5,3,18,18,0.0,91.0,0,1,0,0.02
Network9,8,0.5,26,56,5,3,18,15,0.0,69.0,1,0,0,0.02
Network9,8,0.75,26,56,5,3,18,15,0.0,69.0,1,0,0,0.02
Network9,8,1,26,56,5,3,18,15,0.0,69.0,1,0,0,0.02
Network9,12,0.5,26,56,5,3,18,12,0.0,54.0,1,1,0,0.02
Network9,12,0.75,26,56,5,3,18,12,0.0,54.0,1,1,0,0.02
Network9,12,1,26,56,5,3,18,12,0.0,54.0,1,1,0,0.02
Network9,16,0.5,26,56,5,3,18,9,0.0,32.0,2,0,0,0.02
Network9,16,0.75,26,56,5,3,18,9,0.0,32.0,2,0,0,0.02
Network9,16,1,26,56,5,3,18,9,0.0,32.0,2,0,0,0.02
Network9,20,0.5,26,56,5,3,18,7,0.0,29.0,2,0,2,0.02
Network9,20,0.75,26,56,5,3,18,7,0.0,29.0,2,0,2,0.02
Network9,20,1,26,56,5,3,18,7,0.0,29.0,2,0,2,0.02
Network9,24,0.5,26,56,5,3,18,5,0.0,18.0,3,0,0,0.02
Network9,24,0.75,26,56,5,3,18,5,0.0,18.0,3,0,0,0.02
Network9,24,1,26,56,5,3,18,5,0.0,18.0,3,0,0,0.02
Network10,0,0.5,31,73,5,4,22,26,0.0,163.0,0,0,0,0.02
Network10,0,0.75,31,73,5,4,22,26,0.0,163.0,0,0,0,0.02
Network10,0,1,31,73,5,4,22,26,0.0,163.0,0,0,0,0.02
Network10,4,0.5,31,73,5,4,22,23,0.0,150.0,0,1,0,0.02
Network10,4,0.75,31,73,5,4,22,23,0.0,150.0,0,1,0,0.02
Network10,4,1,31,73,5,4,22,23,0.0,150.0,0,1,0,0.02
Network10,8,0.5,31,73,5,4,22,19,0.0,105.0,1,0,0,0.02
Network10,8,0.75,31,73,5,4,22,19,0.0,105.0,1,0,0,0.02
Network10,8,1,31,73,5,4,22,19,0.0,105.0,1,0,0,0.02
Network10,12,0.5,31,73,5,4,22,16,0.0,92.0,1,1,0,0.02
Network10,12,0.75,31,73,5,4,22,16,0.0,92.0,1,1,0,0.04
Network10,12,1,31,73,5,4,22,16,0.0,92.0,1,1,0,0.02
Network10,16,0.5,31,73,5,4,22,13,0.0,78.0,2,0,0,0.03
Network10,16,0.75,31,73,5,4,22,13,0.0,78.0,2,0,0,0.02
Network10,16,1,31,73,5,4,22,13,0.0,78.0,2,0,0,0.03
Network10,20,0.5,31,73,5,4,22,10,0.0,65.0,2,1,0,0.02
Network10,20,0.75,31,73,5,4,22,10,0.0,65.0,2,1,0,0.02
Network10,20,1,31,73,5,4,22,10,0.0,65.0,2,1,0,0.02
Network10,24,0.5,31,73,5,4,22,7,0.0,50.0,3,0,0,0.03
Network10,24,0.75,31,73,5,4,22,7,0.0,50.0,3,0,0,0.02
Network10,24,1,31,73,5,4,22,7,0.0,50.0,3,0,0,0.02
